body,angle,latitude_deg,longitude_deg
Sun,MC,,-114.02
Sun,IC,,65.98
Sun,AC,65.0,91.45
Sun,DC,65.0,40.52
Sun,AC,60.0,109.16
Sun,DC,60.0,22.80
Sun,AC,55.0,119.02
Sun,DC,55.0,12.94
Sun,AC,50.0,125.87
Sun,DC,50.0,6.10
Sun,AC,45.0,131.09
Sun,DC,45.0,0.88
Sun,AC,40.0,135.30
Sun,DC,40.0,-3.33
Sun,AC,35.0,138.84
Sun,DC,35.0,-6.87
Sun,AC,30.0,141.92
Sun,DC,30.0,-9.95
Sun,AC,25.0,144.66
Sun,DC,25.0,-12.69
Sun,AC,20.0,147.17
Sun,DC,20.0,-15.20
Sun,AC,15.0,149.51
Sun,DC,15.0,-17.54
Sun,AC,10.0,151.73
Sun,DC,10.0,-19.76
Sun,AC,5.0,153.87
Sun,DC,5.0,-21.91
Sun,AC,0.0,155.98
Sun,DC,0.0,-24.02
Sun,AC,-5.0,158.09
Sun,DC,-5.0,-26.13
Sun,AC,-10.0,160.24
Sun,DC,-10.0,-28.27
Sun,AC,-15.0,162.46
Sun,DC,-15.0,-30.49
Sun,AC,-20.0,164.80
Sun,DC,-20.0,-32.83
Sun,AC,-25.0,167.31
Sun,DC,-25.0,-35.34
Sun,AC,-30.0,170.05
Sun,DC,-30.0,-38.08
Sun,AC,-35.0,173.13
Sun,DC,-35.0,-41.16
Sun,AC,-40.0,176.67
Sun,DC,-40.0,-44.70
Sun,AC,-45.0,-179.12
Sun,DC,-45.0,-48.91
Sun,AC,-50.0,-173.90
Sun,DC,-50.0,-54.13
Sun,AC,-55.0,-167.06
Sun,DC,-55.0,-60.98
Sun,AC,-60.0,-157.20
Sun,DC,-60.0,-70.84
Sun,AC,-65.0,-139.48
Sun,DC,-65.0,-88.55
Moon,MC,,149.21
Moon,IC,,-30.79
Moon,AC,80.0,91.77
Moon,DC,80.0,-153.36
Moon,AC,75.0,79.95
Moon,DC,75.0,-141.54
Moon,AC,70.0,74.32
Moon,DC,70.0,-135.91
Moon,AC,65.0,70.95
Moon,DC,65.0,-132.54
Moon,AC,60.0,68.67
Moon,DC,60.0,-130.25
Moon,AC,55.0,67.00
Moon,DC,55.0,-128.58
Moon,AC,50.0,65.70
Moon,DC,50.0,-127.29
Moon,AC,45.0,64.65
Moon,DC,45.0,-126.24
Moon,AC,40.0,63.78
Moon,DC,40.0,-125.36
Moon,AC,35.0,63.02
Moon,DC,35.0,-124.60
Moon,AC,30.0,62.35
Moon,DC,30.0,-123.93
Moon,AC,25.0,61.74
Moon,DC,25.0,-123.33
Moon,AC,20.0,61.19
Moon,DC,20.0,-122.77
Moon,AC,15.0,60.67
Moon,DC,15.0,-122.25
Moon,AC,10.0,60.17
Moon,DC,10.0,-121.75
Moon,AC,5.0,59.68
Moon,DC,5.0,-121.27
Moon,AC,0.0,59.21
Moon,DC,0.0,-120.79
Moon,AC,-5.0,58.73
Moon,DC,-5.0,-120.32
Moon,AC,-10.0,58.25
Moon,DC,-10.0,-119.83
Moon,AC,-15.0,57.75
Moon,DC,-15.0,-119.33
Moon,AC,-20.0,57.23
Moon,DC,-20.0,-118.81
Moon,AC,-25.0,56.67
Moon,DC,-25.0,-118.26
Moon,AC,-30.0,56.07
Moon,DC,-30.0,-117.65
Moon,AC,-35.0,55.40
Moon,DC,-35.0,-116.98
Moon,AC,-40.0,54.64
Moon,DC,-40.0,-116.22
Moon,AC,-45.0,53.76
Moon,DC,-45.0,-115.35
Moon,AC,-50.0,52.71
Moon,DC,-50.0,-114.30
Moon,AC,-55.0,51.42
Moon,DC,-55.0,-113.00
Moon,AC,-60.0,49.75
Moon,DC,-60.0,-111.33
Moon,AC,-65.0,47.46
Moon,DC,-65.0,-109.05
Moon,AC,-70.0,44.09
Moon,DC,-70.0,-105.68
Moon,AC,-75.0,38.46
Moon,DC,-75.0,-100.05
Moon,AC,-80.0,26.64
Moon,DC,-80.0,-88.23
Mercury,MC,,-137.55
Mercury,IC,,42.45
Mercury,AC,70.0,84.42
Mercury,DC,70.0,0.49
Mercury,AC,65.0,96.98
Mercury,DC,65.0,-12.07
Mercury,AC,60.0,104.50
Mercury,DC,60.0,-19.59
Mercury,AC,55.0,109.72
