code,city,lat,lon,home,relationships,career,identity,emotional_ease,creativity,stability,balance,intensity,growth
C01,Montreal,45.5,-73.57,1.55,1.8,2.65,3.62,2.53,3.24,2.33,2.23,0.67,3.58
C02,Mexico City,19.43,-99.13,2.21,0.96,2.65,3.42,2.35,2.5,2.75,2.09,0.38,2.96
C03,Detroit,42.33,-83.05,3.03,1.28,2.65,4.27,3.6,3.34,2.93,2.63,0.08,4.12
C04,Rome,41.9,12.5,2.0,2.85,3.25,3.79,2.8,2.8,2.6,2.64,0.0,3.29
C05,Lisbon,38.72,-9.14,0.94,4.66,3.6,3.79,2.76,2.5,2.76,2.51,0.4,3.15
C06,Vancouver,49.28,-123.12,3.05,2.52,3.97,2.75,2.56,2.8,2.57,2.68,0.06,2.77
C07,Amsterdam,52.37,4.9,1.55,4.81,4.1,3.79,3.36,2.82,2.61,2.84,0.0,3.64
C08,Milan,45.46,9.19,1.86,4.56,3.51,3.76,3.93,3.51,2.82,3.06,0.0,3.74
C09,Seattle,47.61,-122.33,3.1,2.09,4.02,2.75,2.66,2.8,2.6,2.61,0.0,2.77
C10,Phoenix,33.45,-112.07,3.45,1.77,5.0,2.93,4.39,3.44,2.8,2.95,0.0,3.19
C11,Tucson,32.22,-110.97,3.45,1.77,5.0,2.93,4.45,3.57,2.84,2.98,0.0,3.25
C12,Barcelona,41.39,2.17,1.28,5.0,4.45,3.76,4.42,3.68,2.9,3.12,0.07,4.04
C13,London,51.51,-0.13,1.12,4.41,4.13,3.79,2.53,2.8,2.75,2.6,0.38,3.49
C14,Portland OR,45.52,-122.68,3.09,2.11,3.97,2.75,2.6,2.8,2.6,2.61,0.01,2.77
C15,Tokyo,35.68,139.65,3.1,3.1,2.68,5.0,4.36,3.08,3.18,3.15,0.0,4.04
C16,Madrid,40.42,-3.7,0.86,5.0,3.6,3.79,3.08,3.15,3.05,2.7,0.86,3.47
C17,Denver,39.74,-104.99,3.31,1.77,3.69,2.93,3.51,3.31,2.76,2.77,0.0,3.12
C18,San Jose CR,9.93,-84.08,2.92,1.54,2.65,4.09,3.58,3.24,2.86,2.65,0.0,4.0
C19,Charlotte,35.23,-80.84,2.47,1.53,2.65,4.11,3.48,3.54,2.83,2.59,0.0,4.17
C20,Marseille,43.3,5.37,1.58,5.0,4.04,3.76,4.38,3.7,2.88,3.16,0.0,4.04
C21,New York,40.71,-74.01,1.57,1.84,2.65,3.54,2.55,3.21,2.35,2.24,0.62,3.49
C22,Atlanta,33.75,-84.39,2.89,1.28,2.65,4.27,3.46,3.21,2.88,2.57,0.08,4.05
C23,Nice,43.7,7.27,1.72,4.66,3.78,3.76,4.0,3.54,2.83,3.08,0.0,3.86
C24,Chicago,41.88,-87.63,2.55,1.04,2.65,3.8,2.59,2.89,2.94,2.29,0.52,3.48
C25,San Diego,32.72,-117.16,3.45,2.03,4.96,2.66,3.4,2.87,2.62,2.75,0.0,2.77
C26,Santa Fe,35.69,-105.94,3.31,1.77,3.97,2.93,3.72,3.42,2.79,2.83,0.0,3.17
C27,Washington DC,38.9,-77.04,1.97,1.7,2.65,3.79,2.97,3.29,2.59,2.41,0.26,3.76
C28,Florence,43.77,11.26,2.0,3.55,3.25,3.79,3.24,3.12,2.7,2.85,0.0,3.46
C29,Valencia,39.47,-0.38,1.1,5.0,4.1,3.79,3.95,3.57,3.0,2.99,0.41,3.86
C30,Flagstaff,35.2,-111.65,3.45,1.77,5.0,2.93,4.41,3.49,2.81,2.96,0.0,3.21
C31,Nashville,36.16,-86.78,2.64,1.13,2.65,3.97,2.87,2.97,2.91,2.38,0.36,3.67
C32,Salt Lake City,40.76,-111.89,3.45,1.77,5.0,2.93,4.4,3.46,2.8,2.96,0.0,3.2
C33,Boston,42.36,-71.06,1.42,1.98,2.65,3.29,2.39,3.45,2.12,2.17,1.08,3.39
C34,Lyon,45.76,4.84,1.55,5.0,4.11,3.76,4.44,3.55,2.83,3.13,0.0,3.99
C35,Paris,48.86,2.35,1.3,5.0,4.47,3.79,3.68,2.98,2.67,2.9,0.04,3.71
C36,Columbus,39.96,-83.0,3.04,1.3,2.65,4.32,3.66,3.35,2.91,2.64,0.03,4.17
C37,Raleigh,35.78,-78.64,2.21,1.65,2.65,3.89,3.21,3.36,2.72,2.5,0.07,3.88
C38,San Francisco,37.77,-122.42,3.1,2.15,4.0,2.75,2.57,2.8,2.6,2.61,0.0,2.77
